case,text,result,,,,,
pow_assoc,'=2^3^2,64,,,,,
unary_pow,'=-2^2,4,,,,,
unary_pow_paren,'=-(2^2),-4,,,,,
pow_then_mul,'=2*3^2,18,,,,,
percent_pow,'=2^2%,1.01395947979003,,,,,
unary_chain,'=--3,3,,,,,
mul_div_left,'=100/10/2,5,,,,,
sub_left,'=10-3-2,5,,,,,
concat_vs_compare,"'=""a""&""b""=""ab""",TRUE,,,,,
compare_lowest,'=1+1=2,TRUE,,,,,
neg_percent,'=-50%,-50%,,,,,
percent_of_sum,'=(1+1)%,2%,,,,,
float_add,'=0.1+0.2,0.3,,,,,
float_eq,'=0.1+0.2=0.3,TRUE,,,,,
float_cancel,'=(0.5-0.4-0.1),0,,,,,
float_cancel_eq,'=(0.5-0.4-0.1)=0,TRUE,,,,,
big_int,'=9007199254740993,9.00719925474099E+015,,,,,
sig15,'=1/3,0.333333333333333,,,,,
round_half,"'=ROUND(2.5,0)",3,,,,,
round_half_neg,"'=ROUND(-2.5,0)",-3,,,,,
banker_check,"'=ROUND(0.5,0)",1,,,,,
text_num_add,"'=""1""+1",2,,,,,
bool_add,'=TRUE+1,2,,,,,
bool_compare,'=TRUE>1,FALSE,,,,,
text_gt_num,"'=""a"">1",TRUE,,,,,
blank_add,'=Z99+1,1,,,,,
blank_concat,"'=Z99&""x""",x,,,,,
empty_compare,"'=Z99=""""",TRUE,,,,,
empty_zero,'=Z99=0,TRUE,,,,,
third_times3,'=1/3*3,1,,,,,
third_times3_eq,'=1/3*3=1,TRUE,,,,,
half_minus_four,'=0.5-0.4,0.1,,,,,
half_minus_four_eq,'=(0.5-0.4)=0.1,TRUE,,,,,
point1_times3,'=0.1*3,0.3,,,,,
point1_times3_eq,'=0.1*3=0.3,TRUE,,,,,
sum_cancel,"'=SUM(0.1,0.2)-0.3",0,,,,,
sum_cancel_eq,"'=SUM(0.1,0.2)-0.3=0",TRUE,,,,,
tiny_lost,'=1+1E-20-1,0,,,,,
big_cancel,'=1E20+1-1E20,0,,,40,41,42
seventeen_digits,'=1.0000000000000002,1,,,41,42,43
seventeen_eq,'=1.0000000000000002=1,TRUE,,,42,43,44
sixteen_nines,'=0.9999999999999999,1,,,43,44,45
prod_chain,'=0.1+0.2-0.3,0,,,44,45,46
prod_chain_eq,'=(0.1+0.2-0.3)=0,TRUE,,,45,46,47
mul_then_sub,'=0.3*3-0.9,0,,,,,
div_precision,'=1/3,0.333333333333333,,,,,
div_precision_x3,'=(1/3)*3,1,,,,,
sqrt_sq,'=SQRT(2)^2,2,,,,,
sqrt_sq_eq,'=SQRT(2)^2=2,TRUE,0,,,,
amplify_cancel,'=(0.1+0.2-0.3)*1E20,0,,,,,
amplify_cancel2,'=(0.5-0.4-0.1)*1E20,0,,,,,
amplify_via_cell,'=D50*1E20,0,,,,,
inner_residue,'=ABS(0.1+0.2-0.3)>0,FALSE,,,,,
range_op,'=SUM(F40:F42),123,,,,,
intersect_op,'=SUM(F40:H42 G40:G45),126,,,,,
union_op,"'=SUM((F40:F41,F42:F43))",166,,,,,
