bold,yellow fill,,name,value,numFmt,,merged H1:J2
italic,bordered,,general,1234.5678,General,,
underline,centered,,2dp,1234.5678,0.00,,
strike,wrapped text that is quite long and should wrap onto several lines,,thousands,1234567.891,"#,##0.00",,
big red,rotated,,currency,1234.5,"""$""#,##0.00",,
,indented,,accounting,-1234.5,"_(""$""* #,##0.00_);_(""$""* \(#,##0.00\);_(""$""* ""-""??_);_(@_)",,
,,,percent,45.67%,0.00%,,
,,,scientific,12345.678,0.00E+00,,
,,,fraction,0.75,# ?/?,,
,,,date,2023-03-15,yyyy-mm-dd,,
,,,date_long,03/15/2023,"dddd, mmmm d, yyyy",,
,,,time,13:37:37.92,hh:mm:ss,,
,,,datetime,2023-03-15 13:37:37,yyyy-mm-dd hh:mm,,
,,,elapsed,36:00:00,[h]:mm:ss,,
,,,negred,-42,0.00;[Red]-0.00,,
,,,four_section,0,"0.00;[Red]-0.00;""zero"";@",,
,,,text_fmt,raw,@,,
,,,conditional,150,"[>100]""big"";[<=100]""small""",,
